NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],range of pressure [kPa],Licor volume [cm+3]
Ctrl_RH_line2_1,control,RockyHarbour,2,1,7/13/22 14:37,98.46,979.75,4.91931,835.2,1.5,18.39917,98.47,364.07,338.2,369.97,5.07167,0.99969,0.99966,15.958,83.7,17,62.54,0.03,19
Ctrl_RH_line2_1,control,RockyHarbour,2,1,7/13/22 14:39,98.48,979.75,4.83448,835.2,1.5,18.36367,98.48,364.36,339.28,370.28,5.0532,0.99967,0.99962,15.988,83.7,17,61.43,0.03,19
Ctrl_RH_line2_3,control,RockyHarbour,2,2,7/13/22 14:49,98.47,1021.6,2.701,835.2,2,17.7585,98.48,344.53,333.34,349.98,3.17362,0.99813,0.99715,15.568,83.7,17,32.57,0.02,19
Ctrl_RH_line2_3,control,RockyHarbour,2,2,7/13/22 14:50,98.49,1021.6,2.25765,835.2,2,17.69417,98.48,347.19,336.35,352.69,2.68076,0.99827,0.99745,15.614,83.7,17,30.85,0.04,19
Ctrl_RH_line2_2,control,RockyHarbour,2,5,7/13/22 14:58,98.56,1021.6,3.97044,835.2,2,17.918,98.55,357.33,338.63,363.1,4.17112,0.9994,0.99934,15.904,83.7,17,48.16,0.04,19
Ctrl_RH_line2_2,control,RockyHarbour,2,5,7/13/22 15:00,98.57,1021.6,4.00206,835.2,2,17.8665,98.57,356.13,336.73,361.88,4.2521,0.99951,0.99941,15.886,83.7,17,49.42,0.04,19
Ctrl_RH_line2_5,control,RockyHarbour,2,4,7/13/22 15:05,98.54,1084.38,6.17498,835.2,2.75,17.85133,98.54,374.61,343.77,380.6,7.3353,0.99975,0.99878,15.749,83.7,17,71.32,0.03,19
Ctrl_RH_line2_5,control,RockyHarbour,2,4,7/13/22 15:07,98.55,1084.38,5.83787,835.2,2.75,17.77617,98.56,367.48,338.3,373.35,6.70413,0.99967,0.99904,15.717,83.7,17,67.3,0.03,19
Ctrl_RH_line2_4,control,RockyHarbour,2,3,7/13/22 15:13,98.53,958.83,3.28674,835.2,1.25,17.74667,98.53,351.04,336.16,356.65,3.37103,0.99933,0.99932,15.733,83.7,17,41.87,0.03,19
Ctrl_RH_line2_4,control,RockyHarbour,2,3,7/13/22 15:15,98.54,958.83,3.42919,835.2,1.25,17.71333,98.55,354.74,339.81,360.43,3.42919,0.99929,0.99929,15.792,83.7,17,42.6,0.04,19
