NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],mean relative humidity [%],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],initial hour of measurement,range of pressure [kPa],Licor volume [cm+3]
Ctrl_RH_line3_1,control,RockyHarbour,3,1,7/13/22 16:09,98.51,1021.6,4.39089,835.2,2,17.541,98.51,378.19,355.72,384.1,75.37033,4.83582,0.99955,0.99929,15.4,83.7,17,55.1,16.15139,0.04,19
Ctrl_RH_line3_1,control,RockyHarbour,3,1,7/13/22 16:10,98.52,1021.6,3.84769,835.2,2,17.49133,98.52,365.22,345.93,370.93,75.688,4.45545,0.99935,0.99865,15.413,83.7,17,48.26,16.18167,0.03,19
Ctrl_RH_line3_2,control,RockyHarbour,3,2,7/13/22 16:16,98.49,1189,4.05473,835.2,4,17.53617,98.49,362.69,346.87,368.36,75.2535,4.31546,0.99942,0.99931,15.374,83.7,17,42.94,16.27001,0.03,19
Ctrl_RH_line3_2,control,RockyHarbour,3,2,7/13/22 16:18,98.5,1189,4.05686,835.2,4,17.48,98.5,360.19,344.74,365.81,75.413,4.29559,0.99967,0.99958,15.348,83.7,17,41.77,16.30028,0.03,19
Ctrl_RH_line3_5,control,RockyHarbour,3,5,7/13/22 16:27,98.5,1042.53,5.25959,835.2,2.25,17.74367,98.49,363.39,333.18,368.91,72.30617,6.29955,0.99956,0.99856,14.967,83.7,17,66.73,16.45556,0.04,19
Ctrl_RH_line3_5,control,RockyHarbour,3,5,7/13/22 16:29,98.49,1042.53,5.32591,835.2,2.25,17.66567,98.5,363.02,333.07,368.53,72.55333,6.23728,0.99961,0.99885,14.94,83.7,17,66.53,16.48582,0.05,19
Ctrl_RH_line3_4,control,RockyHarbour,3,4,7/13/22 16:34,98.45,979.75,2.11949,835.2,1.5,17.61883,98.46,340.06,331.32,345.2,72.45367,2.52188,0.99902,0.99791,14.88,83.7,17,26.91,16.57361,0.04,19
Ctrl_RH_line3_4,control,RockyHarbour,3,4,7/13/22 16:36,98.47,979.75,2.1653,835.2,1.5,17.56033,98.47,341.02,331.62,346.18,72.96183,2.30347,0.99798,0.99788,14.93,83.7,17,28.31,16.60389,0.03,19
Ctrl_RH_line3_3,control,RockyHarbour,3,3,7/13/22 16:41,98.46,979.75,3.0454,835.2,1.5,17.58983,98.46,373.13,358.18,378.87,73.82083,3.14225,0.99962,0.9996,15.137,83.7,17,40.56,16.68611,0.04,19
Ctrl_RH_line3_3,control,RockyHarbour,3,3,7/13/22 16:42,98.46,979.75,3.16824,835.2,1.5,17.501,98.47,362.02,345.94,367.59,74.31333,3.44215,0.99931,0.99912,15.151,83.7,17,41.62,16.71639,0.02,19
