NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],range of pressure [kPa],Licor volume [cm+3]
Excl_Ochre,exclosure,Ochre,1,1,8/3/22 13:51,97.51,1021.6,3.80842,835.2,2,25.13311,97.5,444.99,431.88,455.64,4.16483,0.99967,0.9994,23.376,83.7,0,46.41,0.04,19
Excl_Ochre,exclosure,Ochre,1,1,8/3/22 13:52,97.5,1021.6,4.66762,835.2,2,24.89607,97.5,388.45,382.16,397.53,5.71935,0.99919,0.99564,22.835,83.7,0,49.64,0.03,19
Excl_Ochre,exclosure,Ochre,1,2,8/3/22 13:59,97.48,1272.7,4.64512,835.2,5,24.05557,97.49,378.34,349.5,386.6,6.68441,0.99951,0.99739,21.367,83.7,0,57.17,0.04,19
Excl_Ochre,exclosure,Ochre,1,2,8/3/22 14:01,97.5,1272.7,4.90713,835.2,5,23.96492,97.5,353.76,343.26,361.35,5.96955,0.99962,0.99752,21.001,83.7,0,45.4,0.04,19
Excl_Ochre,exclosure,Ochre,1,3,8/3/22 14:07,97.51,1063.45,6.05572,835.2,2.5,23.83148,97.5,383.82,367.71,392.21,6.88527,0.99965,0.99858,21.384,83.7,0,62.66,0.04,19
Excl_Ochre,exclosure,Ochre,1,3,8/3/22 14:08,97.52,1063.45,6.11642,835.2,2.5,23.82246,97.51,373.95,358.85,382.16,7.01242,0.99745,0.99601,21.463,83.7,0,73.73,0.04,19
Excl_Ochre,exclosure,Ochre,1,4,8/3/22 14:14,97.51,1000.68,6.56615,835.2,1.75,24.01098,97.51,380.42,347.63,388.91,7.28579,0.99883,0.9985,21.828,83.7,0,100.01,0.03,19
Excl_Ochre,exclosure,Ochre,1,4,8/3/22 14:15,97.52,1000.68,6.7063,835.2,1.75,23.94623,97.52,371.19,395.55,379.42,6.53121,0.99969,0.99911,21.682,83.7,0,74.25,0.03,19
Excl_Ochre,exclosure,Ochre,1,5,8/3/22 14:20,97.51,1189,6.50477,835.2,4,24.09869,97.52,434.87,363.67,444.78,6.50477,0.94,0.94,22.266,83.7,0,140.37,0.03,19
Excl_Ochre,exclosure,Ochre,1,5,8/3/22 14:22,97.53,1189,8.47512,835.2,4,24.01377,97.52,375.89,375.73,384.41,9.06248,0.99957,0.99805,22.178,83.7,0,77.41,0.03,19
