NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],range of pressure [kPa],Licor volume [cm+3]
SB_BerryPond_line3_5,insect,BerryPond,3,5,7/17/22 15:29,98.66,979.75,3.36048,835.2,1.5,21.93689,98.66,361.78,347.61,367.84,3.7213,0.99958,0.99919,16.468,83.7,0,41.19,0.03,19
SB_BerryPond_line3_5,insect,BerryPond,3,5,7/17/22 15:30,98.67,979.75,3.64975,835.2,1.5,21.47,98.67,345.69,336.95,351.12,4.06824,0.99959,0.99866,15.427,83.7,0,37.97,0.04,19
SB_BerryPond_line3_4,insect,BerryPond,3,4,7/17/22 15:39,98.66,1042.53,3.55917,835.2,2.25,19.63131,98.67,351.54,356.57,356.69,3.5716,0.99951,0.99946,14.437,83.7,0,32.09,0.05,19
SB_BerryPond_line3_4,insect,BerryPond,3,4,7/17/22 15:40,98.67,1042.53,3.4614,835.2,2.25,19.49951,98.68,349.55,339.5,354.7,3.4614,0.99954,0.99954,14.499,83.7,0,36.02,0.03,19
SB_BerryPond_line3_2,insect,BerryPond,3,2,7/17/22 15:56,98.7,1000.68,2.7864,835.2,1.75,18.88066,98.71,332.25,323.54,337.28,3.47083,0.99926,0.99686,14.906,83.7,0,31.32,0.04,19
SB_BerryPond_line3_2,insect,BerryPond,3,2,7/17/22 15:58,98.71,1000.68,2.6092,835.2,1.75,18.82574,98.72,338.95,328.59,344.15,2.88493,0.99938,0.99903,15.103,83.7,0,31.93,0.04,19
SB_BerryPond_line3_3,insect,BerryPond,3,3,7/17/22 16:07,98.69,1105.3,4.1844,835.2,3,19.1877,98.69,334.87,332.11,339.91,4.29819,0.99947,0.99934,14.799,83.7,0,36.57,0.04,19
SB_BerryPond_line3_3,insect,BerryPond,3,3,7/17/22 16:09,98.71,1105.3,4.36824,835.2,3,19.22525,98.7,336.4,327.36,341.48,4.7552,0.99955,0.99899,14.836,83.7,0,38.26,0.04,19
SB_BerryPond_line3_1,insect,BerryPond,3,1,7/17/22 16:21,98.75,1105.3,2.89817,835.2,3,20.48557,98.75,328.38,327.59,333.7,3.16375,0.99928,0.99818,15.939,83.7,0,25.85,0.03,19
SB_BerryPond_line3_1,insect,BerryPond,3,1,7/17/22 16:22,98.76,1105.3,2.96537,835.2,3,20.53656,98.76,324.04,318.55,329.35,3.25689,0.99938,0.99884,16.126,83.7,0,27.26,0.04,19
