NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],mean relative humidity [%],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],initial hour of measurement,range of pressure [kPa],Licor volume [cm+3]
Timber_Gmtrail_line2_3,timber,Gmtrail,2,3,7/23/22 14:02,98.51,937.9,6.34313,835.2,1,31.05525,98.51,351.86,346.09,361.82,59.42574,6.52736,0.99968,0.99954,27.295,83.7,0,67.3,14.03528,0.03,19
Timber_Gmtrail_line2_3,timber,Gmtrail,2,3,7/23/22 14:03,98.52,937.9,6.1756,835.2,1,31.25,98.51,365.28,357.45,376.26,62.45262,6.58765,0.99948,0.999,29.003,83.7,0,68.11,14.06139,0.03,19
Timber_Gmtrail_line2_1,timber,Gmtrail,2,1,7/23/22 14:17,98.5,1063.45,8.20315,835.2,2.5,29.61705,98.51,406.28,365.29,417.71,64.60869,10.36819,0.99962,0.99777,27.343,83.7,0,102.89,14.29723,0.03,19
Timber_Gmtrail_line2_1,timber,Gmtrail,2,1,7/23/22 14:19,98.54,1063.45,6.86011,835.2,2.5,29.32295,98.53,367.88,340.81,377.82,63.11508,7.75949,0.99967,0.999,26.252,83.7,0,81.88,14.32306,0.03,19
Timber_Gmtrail_line2_4,timber,Gmtrail,2,4,7/23/22 14:39,98.37,1084.38,5.55867,835.2,2.75,26.46607,98.38,397.35,363.66,407.18,68.29115,6.01728,0.99978,0.99965,24.08,83.7,0,97.79,14.65111,0.04,19
Timber_Gmtrail_line2_4,timber,Gmtrail,2,4,7/23/22 14:40,98.39,1084.38,5.78547,835.2,2.75,26.39443,98.39,372.81,363.77,382.08,68.98049,6.50434,0.99942,0.99817,24.209,83.7,0,57.22,14.67694,0.03,19
Timber_Gmtrail_line2_2,timber,Gmtrail,2,2,7/23/22 14:57,98.52,1021.6,4.0353,835.2,2,29.13393,98.52,390.62,359.01,402.51,71.67033,5.15207,0.99953,0.99872,29.488,83.7,0,68.2,14.96001,0.03,19
Timber_Gmtrail_line2_2,timber,Gmtrail,2,2,7/23/22 14:59,98.52,1021.6,4.13495,835.2,2,29.23115,98.53,372.53,384.43,383.23,67.36361,4.24267,0.99925,0.99738,27.867,83.7,0,42,14.98582,0.03,19
Timber_Gmtrail_line2_5,timber,Gmtrail,2,5,7/23/22 15:10,98.41,937.9,5.98606,835.2,1,26.08115,98.41,352.45,327,359.68,58.0559,6.58516,0.99982,0.99941,20.002,83.7,0,72.3,15.17889,0.04,19
Timber_Gmtrail_line2_5,timber,Gmtrail,2,5,7/23/22 15:12,98.41,937.9,5.71496,835.2,1,26.02984,98.41,367.37,364.75,375.05,59.39262,6.03586,0.99972,0.99909,20.4,83.7,0,62.74,15.20473,0.03,19
