NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],mean relative humidity [%],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],initial hour of measurement,range of pressure [kPa],Licor volume [cm+3]
Timber_electric_line1_5,timber,electric,1,5,7/18/22 14:30,98.32,1105.3,8.66198,835.2,3,23.3541,98.33,371.11,340.51,377.97,61.92852,10.08486,0.99973,0.99844,18.149,83.7,0,84.33,14.50001,0.03,19
Timber_electric_line1_5,timber,electric,1,5,7/18/22 14:31,98.33,1105.3,7.84915,835.2,3,23.09705,98.34,371.02,344.58,377.88,62.89787,9.21632,0.99972,0.99825,18.145,83.7,0,77.06,14.52582,0.03,19
Timber_electric_line1_4,timber,electric,1,4,7/18/22 14:40,98.3,1021.6,5.87911,835.2,2,22.74082,98.29,350.9,323.36,357.09,61.1941,6.38612,0.99976,0.9995,17.284,83.7,0,66.3,14.67806,0.03,19
Timber_electric_line1_4,timber,electric,1,4,7/18/22 14:42,98.29,1021.6,5.61088,835.2,2,22.61934,98.3,358.07,326.33,364.43,62.12443,5.73432,0.99978,0.99977,17.413,83.7,0,69.63,14.70389,0.04,19
Timber_electric_line1_1,timber,electric,1,1,7/18/22 14:55,98.23,1021.6,2.93144,835.2,2,24.51492,98.23,328.46,323.21,335.36,65.26443,3.26416,0.99953,0.9987,20.528,83.7,0,33.32,14.92889,0.04,19
Timber_electric_line1_1,timber,electric,1,1,7/18/22 14:57,98.23,1021.6,2.86918,835.2,2,24.39951,98.23,329.38,325.81,336.24,65.1982,3.16379,0.99951,0.99886,20.361,83.7,0,31.5,14.95473,0.03,19
Timber_electric_line1_3,timber,electric,1,3,7/18/22 15:09,98.29,1000.68,2.95727,835.2,1.75,25.66951,98.3,333.54,326.64,339.55,52.49475,3.27769,0.99952,0.99892,17.672,83.7,0,31.36,15.15806,0.04,19
Timber_electric_line1_3,timber,electric,1,3,7/18/22 15:11,98.32,1000.68,2.98095,835.2,1.75,25.37984,98.32,333.89,319.82,339.96,53.8141,3.40455,0.99893,0.99831,17.806,83.7,0,36.85,15.18389,0.03,19
Timber_electric_line1_2,timber,electric,1,2,7/18/22 15:19,98.26,1021.6,4.63633,835.2,2,28.33705,98.26,340.33,322.51,347.05,48.91557,5.15517,0.99949,0.99892,19.266,83.7,0,52.89,15.32028,0.03,19
Timber_electric_line1_2,timber,electric,1,2,7/18/22 15:20,98.28,1021.6,4.60103,835.2,2,28.36131,98.27,336.81,326.01,343.29,47.64246,5.0437,0.99972,0.99914,18.79,83.7,0,48.12,15.34611,0.04,19
