NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],range of pressure [kPa],Licor volume [cm+3]
timber_old_line3_1,timber,old,3,1,7/26/22 16:40,97.18,937.9,5.56778,835.2,1,26.041,97.18,361.1,330.4,369.24,5.63238,0.99955,0.99955,21.956,83.7,17,76.79,0.04,19
timber_old_line3_1,timber,old,3,1,7/26/22 16:42,97.19,937.9,5.85856,835.2,1,25.99283,97.19,360.72,329.66,368.98,5.85856,0.9998,0.9998,22.287,83.7,16,80.13,0.02,19
timber_old_line3_4,timber,old,3,4,7/26/22 17:01,97.29,1021.6,2.60861,835.2,2,22.57067,97.29,335.2,324.66,340.8,2.83425,0.99848,0.99826,16.414,83.7,16,32.5,0.04,19
timber_old_line3_4,timber,old,3,4,7/26/22 17:03,97.3,1021.6,3.02601,835.2,2,22.42833,97.3,343.69,330.58,349.58,3.02601,0.9991,0.9991,16.813,83.7,17,38.07,0.05,19
timber_old_line3_2,timber,old,3,2,7/26/22 17:13,97.27,937.9,7.73636,835.2,1,23.62967,97.27,383.53,335.73,390.73,8.45652,0.99981,0.99958,18.367,83.7,17,107.41,0.05,19
timber_old_line3_2,timber,old,3,2,7/26/22 17:15,97.27,937.9,7.70266,835.2,1,23.71183,97.27,389.47,344.13,396.74,8.30817,0.99982,0.99965,18.245,83.7,17,104.79,0.04,19
timber_old_line3_3,timber,old,3,3,7/26/22 17:22,97.27,1105.3,4.04624,835.2,3,22.88017,97.28,350.18,332.47,356.15,4.55577,0.99956,0.99908,16.706,83.7,17,46.17,0.04,19
timber_old_line3_3,timber,old,3,3,7/26/22 17:24,97.28,1105.3,4.1762,835.2,3,22.74333,97.29,351.45,332.69,357.53,4.58799,0.99945,0.99918,16.961,83.7,17,48.97,0.05,19
timber_old_line3_5,timber,old,3,5,7/26/22 17:39,97.39,954.64,3.5598,835.2,1.2,21.71833,97.4,343.31,325.89,348.84,3.5598,0.99953,0.99953,15.824,83.7,17,46.43,0.03,19
timber_old_line3_5,timber,old,3,5,7/26/22 17:41,97.4,954.64,3.68413,835.2,1.2,21.62667,97.41,348.85,329.89,354.51,3.70597,0.99913,0.99913,15.932,83.7,17,49.12,0.04,19
