ID,Area,Total_Bulls,Total_Cows,Total_Calves,Total_Unknown,Total_Moose,Density,DensityThreshold_1=low_2=med_3=high,Calf_Cow_Ratio,Male_Ratio,Year
Ls_8,4.001,10,15,5,3,33,8.25,3,0.333333333,0.286,2009
Ln_86,4.173,5,9,2,3,19,4.55,3,0.222222222,0.455,2009
Ln_87,4.049,2,13,1,0,16,3.95,2,0.076923077,0.669,2009
Ln_90,4.054,2,0,0,0,2,0.49,1,NA,0.67,2009
Ln_93,4.049,7,14,4,0,25,6.17,3,0.285714286,0.366,2009
Ln_97,4.007,7,13,1,0,21,5.24,3,0.076923077,0.364,2009
Ln_103,4.109,9,17,9,0,35,8.52,3,0.529411765,0.313,2009
Ln_104,3.866,10,14,2,0,26,6.73,3,0.142857143,0.279,2009
Ln_105,3.785,6,14,2,0,22,5.81,3,0.142857143,0.387,2009
Ln_108,4.2,4,13,3,2,22,5.24,3,0.230769231,0.512,2009
Ln_109,4.214,5,11,2,7,25,5.93,3,0.181818182,0.457,2009
Ln_110,4.145,8,4,3,1,16,3.86,2,0.75,0.341,2009
Ln_111,4.081,17,26,4,4,51,12.5,3,0.153846154,0.194,2009
Ln_130,3.987,13,28,2,20,63,15.8,3,0.071428571,0.235,2009
Ln_139,4.052,7,6,5,1,19,4.69,3,0.833333333,0.367,2009
Ln_142,4.084,13,33,7,2,55,13.47,3,0.212121212,0.239,2009
Ln_146,3.825,10,14,3,0,27,7.06,3,0.214285714,0.277,2009
Ln_152,4.21,7,12,6,7,32,7.6,3,0.5,0.376,2009
Ln_153,3.831,8,9,6,1,24,6.26,3,0.666666667,0.324,2009
Ln_154,4.05,5,7,4,0,16,3.95,2,0.571428571,0.448,2009
Ln_164,3.952,6,12,2,0,20,5.06,3,0.166666667,0.397,2009
Ln_165,4.099,13,9,6,3,31,7.56,3,0.666666667,0.24,2009
Ln_168,4.698,5,12,7,0,24,5.11,3,0.583333333,0.484,2009
Ln_175,4.239,8,7,1,3,19,4.48,3,0.142857143,0.346,2009
Ls_8,4.001,2,2,1,3,8,2,1,0.5,0.667,2013
