"","site_name","Ecoregion","Block_num","ID","Str2015","Str2017","Difference","X2018_strat","X2015_strat","X2017_str_1","X2016_strat","Area","max","type","mean","dens_mean","dens_max","X2018_total","X2015_total","X2017_tot_1","X2016_total","geometry"
"15","Mill Brook Exclosure","Lowland South",5,"Ls_5","X High","X-High","N",NA,"X-High","High",NA,4.11751565104,22,"X2015_total",7.5,1.82148670111446,5.34302765660241,0,22,8,0,c(-57.7806791011782, 49.5039169304537)
"16","Mill Brook Mature","Lowland South",5,"Ls_5","X High","X-High","N",NA,"X-High","High",NA,4.11751565104,22,"X2015_total",7.5,1.82148670111446,5.34302765660241,0,22,8,0,c(-57.7797182836177, 49.5045793522614)
"17","Mill Brook Gap (old Timber?)","Lowland South",5,"Ls_5","X High","X-High","N",NA,"X-High","High",NA,4.11751565104,22,"X2015_total",7.5,1.82148670111446,5.34302765660241,0,22,8,0,c(-57.7787425462695, 49.5051396824884)
"18","Mill Brook Mature","Lowland South",5,"Ls_5","X High","X-High","N",NA,"X-High","High",NA,4.11751565104,22,"X2015_total",7.5,1.82148670111446,5.34302765660241,0,22,8,0,c(-57.7786507110321, 49.5050824993072)
"12","Southeast Brook Exclosure","Lowland South",7,"Ls_7","High","High","N",NA,NA,"High",NA,4.07866658312,12,"X2017_tot_1",3,0.735534503461455,2.94213801384582,0,0,12,0,c(-57.6740840916128, 49.4629302202253)
"13","Southeast Brook Timber ","Lowland South",7,"Ls_7","High","High","N",NA,NA,"High",NA,4.07866658312,12,"X2017_tot_1",3,0.735534503461455,2.94213801384582,0,0,12,0,c(-57.673604790831, 49.4635825078236)
"14","Southeast Brook Mature","Lowland South",7,"Ls_7","High","High","N",NA,NA,"High",NA,4.07866658312,12,"X2017_tot_1",3,0.735534503461455,2.94213801384582,0,0,12,0,c(-57.6746219583393, 49.4635688793375)
"10","Berry Trail Gap","Lowland North",167,"Ln_167","High","High","N",NA,"High",NA,NA,3.80228359153,11,"X2015_total",2.75,0.723249577208266,2.89299830883306,0,11,0,0,c(-57.9218657222185, 49.6300563589201)
"11","Berry Trail Mature","Lowland North",167,"Ln_167","High","High","N",NA,"High",NA,NA,3.80228359153,11,"X2015_total",2.75,0.723249577208266,2.89299830883306,0,11,0,0,c(-57.9253422003779, 49.6285246499348)
"5","Berry Pond Gap","Lowland North",168,"Ln_168","High","Low","Y","Low","High","Low","High",4.69822425264,12,"X2015_total",5.75,1.22386665488966,2.55415649716103,0,12,3,8,c(-57.9126428627017, 49.6221868414894)
"6","Berry Baby Gap","Lowland North",168,"Ln_168","High","Low","Y","Low","High","Low","High",4.69822425264,12,"X2015_total",5.75,1.22386665488966,2.55415649716103,0,12,3,8,c(-57.9187963530961, 49.624499534303)
"7","Baby Berry Mature","Lowland North",168,"Ln_168","High","Low","Y","Low","High","Low","High",4.69822425264,12,"X2015_total",5.75,1.22386665488966,2.55415649716103,0,12,3,8,c(-57.9179237969759, 49.6248500235844)
"22","Berry Pond Mature","Lowland North",168,"Ln_168","High","Low","Y","Low","High","Low","High",4.69822425264,12,"X2015_total",5.75,1.22386665488966,2.55415649716103,0,12,3,8,c(-57.9116883849106, 49.6219012256583)
"3","Electric Mature ","Lowland North",175,"Ln_175","High","Low","Y","Low","High","Low","Low",4.23891283908,9,"X2015_total",4,0.943638180790749,2.12318590677918,2,9,3,2,c(-57.9193898756596, 49.6133068018124)
"4","Electric Gap","Lowland North",175,"Ln_175","High","Low","Y","Low","High","Low","Low",4.23891283908,9,"X2015_total",4,0.943638180790749,2.12318590677918,2,9,3,2,c(-57.9186014738473, 49.6134165209252)
"8","Berry Hill Gap","Lowland North",175,"Ln_175","High","Low","Y","Low","High","Low","Low",4.23891283908,9,"X2015_total",4,0.943638180790749,2.12318590677918,2,9,3,2,c(-57.9227635916862, 49.6194550535176)
"9","Berry Hill Mature","Lowland North",175,"Ln_175","High","Low","Y","Low","High","Low","Low",4.23891283908,9,"X2015_total",4,0.943638180790749,2.12318590677918,2,9,3,2,c(-57.9218014330211, 49.6189732198134)
"19","Norris Point Exclosure","Lowland North",181,"Ln_181","High","Low","Y",NA,NA,NA,NA,4.19473711669,0,"X2018_total",0,0,0,0,0,0,0,c(-57.8652570304068, 49.5638972428161)
"20","Norris Point Mature","Lowland North",181,"Ln_181","High","Low","Y",NA,NA,NA,NA,4.19473711669,0,"X2018_total",0,0,0,0,0,0,0,c(-57.8660597652736, 49.5634802012235)
"21","Norris Point Timber","Lowland North",181,"Ln_181","High","Low","Y",NA,NA,NA,NA,4.19473711669,0,"X2018_total",0,0,0,0,0,0,0,c(-57.8656114172729, 49.5626319107133)
"1","GM Trail Mature ","Lowland North",183,"Ln_183","High","High","N",NA,NA,NA,NA,3.86090994311,0,"X2018_total",0,0,0,0,0,0,0,c(-57.8472195100578, 49.5754915941972)
"2","GM Trail Gap","Lowland North",183,"Ln_183","High","High","N",NA,NA,NA,NA,3.86090994311,0,"X2018_total",0,0,0,0,0,0,0,c(-57.8466393985393, 49.5750240516382)
